,gadget Name,gadget Material,gadget Tickets,gadget: Total Tickets,gadget Odds (% chance),card_material Name,card_material Material,card_material Tickets,card_material: Total Tickets,card_material Odds (% chance),card_shield Name,card_shield Material,card_shield Tickets,card_shield: Total Tickets,card_shield Odds (% chance),card_bit Name,card_bit Material,card_bit Tickets,card_bit: Total Tickets,card_bit Odds (% chance),card_drift Name,card_drift Material,card_drift Tickets,card_drift: Total Tickets,card_drift Odds (% chance),card_mana Name,card_mana Material,card_mana Tickets,card_mana: Total Tickets,card_mana Odds (% chance),card_ingot Name,card_ingot Material,card_ingot Tickets,card_ingot: Total Tickets,card_ingot Odds (% chance),dragon_style Name,dragon_style Material,dragon_style Tickets,dragon_style: Total Tickets,dragon_style Odds (% chance),dragon_body Name,dragon_body Material,dragon_body Tickets,dragon_body: Total Tickets,dragon_body Odds (% chance),dragon_wings Name,dragon_wings Material,dragon_wings Tickets,dragon_wings: Total Tickets,dragon_wings Odds (% chance),dragon_eyes Name,dragon_eyes Material,dragon_eyes Tickets,dragon_eyes: Total Tickets,dragon_eyes Odds (% chance),dragon_all_horns Name,dragon_all_horns Material,dragon_all_horns Tickets,dragon_all_horns: Total Tickets,dragon_all_horns Odds (% chance),music Name,music Material,music Tickets,music: Total Tickets,music Odds (% chance)
Variant 1,platinum_token Variant 1,Moneda platino,50,100,50,platinum Variant 1,Platinium Card,50,100,50,kevlar Variant 1,Front Card KEVLAR,15,100,15,720 Variant 1,Bit,30,100,30,60 Variant 1,drift,15,100,15,3 Variant 1,Mana,80,100,80,4 Variant 1,ingot,60,100,60,wild Variant 1,No Material,900,1000,90,exotic_turquoise Variant 1,Cuerpo turquesa,14,100,14,party_orange Variant 1,Material.005,17,100,17,wasp_yellow Variant 1,Ojos verde claro,25,100,25,golden Variant 1,Puas oro,25,100,25,none Variant 1,No Material,99,100,99
Variant 2,titanium_token Variant 2,Material.016,15,100,15,platinum Variant 2,Platinium Card,50,100,50,emerald Variant 2,Front Card Colorful,30,100,30,864 Variant 2,Bit,20,100,20,48 Variant 2,drift,80,100,80,3 Variant 2,Mana,80,100,80,5 Variant 2,ingot,33,100,33,wild Variant 2,No Material,900,1000,90,firing_red Variant 2,Cuerpo rojo,16,100,16,ocean_blue Variant 2,Material.001,17,100,17,hornet_brown Variant 2,Ojos sauron,40,100,40,bone Variant 2,Huesos blancos,70,100,70,none Variant 2,No Material,99,100,99
Variant 3,platinum_token Variant 3,Moneda platino,50,100,50,platinum Variant 3,Platinium Card,50,100,50,emerald Variant 3,Front Card Colorful,30,100,30,576 Variant 3,Bit,50,100,50,60 Variant 3,drift,15,100,15,9 Variant 3,Mana,5,100,5,8 Variant 3,ingot,4,100,4,wild Variant 3,No Material,900,1000,90,peaceful_green Variant 3,Cuerpo verde,14,100,14,party_orange Variant 3,Material.005,17,100,17,hornet_brown Variant 3,Ojos sauron,40,100,40,bone Variant 3,Huesos blancos,70,100,70,none Variant 3,No Material,99,100,99
Variant 4,titanium_token Variant 4,Material.016,15,100,15,platinum Variant 4,Platinium Card,50,100,50,emerald Variant 4,Front Card Colorful,30,100,30,720 Variant 4,Bit,30,100,30,48 Variant 4,drift,80,100,80,3 Variant 4,Mana,80,100,80,4 Variant 4,ingot,60,100,60,wild Variant 4,No Material,900,1000,90,earthy_orange Variant 4,Cuerpo amarillo,14,100,14,sunny_yellow Variant 4,Material.002,17,100,17,wasp_yellow Variant 4,Ojos verde claro,25,100,25,bone Variant 4,Huesos blancos,70,100,70,none Variant 4,No Material,99,100,99
Variant 5,platinum_token Variant 5,Moneda platino,50,100,50,titanium Variant 5,Titanium Card,20,100,20,sapphire Variant 5,Front Card NAVY,20,100,20,576 Variant 5,Bit,50,100,50,48 Variant 5,drift,80,100,80,3 Variant 5,Mana,80,100,80,4 Variant 5,ingot,60,100,60,wild Variant 5,No Material,900,1000,90,mystic_purple Variant 5,Cuerpo Morado,14,100,14,floyd_pink Variant 5,Alas rosadas,17,100,17,wasp_yellow Variant 5,Ojos verde claro,25,100,25,bone Variant 5,Huesos blancos,70,100,70,none Variant 5,No Material,99,100,99
Variant 6,titanium_token Variant 6,Material.016,15,100,15,titanium Variant 6,Titanium Card,20,100,20,sapphire Variant 6,Front Card NAVY,20,100,20,864 Variant 6,Bit,20,100,20,48 Variant 6,drift,80,100,80,3 Variant 6,Mana,80,100,80,4 Variant 6,ingot,60,100,60,wild Variant 6,No Material,900,1000,90,mystic_purple Variant 6,Cuerpo Morado,14,100,14,magic_purple Variant 6,Material.004,17,100,17,hornet_brown Variant 6,Ojos sauron,40,100,40,bone Variant 6,Huesos blancos,70,100,70,none Variant 6,No Material,99,100,99
Variant 7,platinum_token Variant 7,Moneda platino,50,100,50,platinum Variant 7,Platinium Card,50,100,50,kevlar Variant 7,Front Card KEVLAR,15,100,15,720 Variant 7,Bit,30,100,30,48 Variant 7,drift,80,100,80,3 Variant 7,Mana,80,100,80,5 Variant 7,ingot,33,100,33,wild Variant 7,No Material,900,1000,90,chocolate_brown Variant 7,Cuerpo marrón,14,100,14,magic_purple Variant 7,Material.004,17,100,17,hornet_brown Variant 7,Ojos sauron,40,100,40,golden Variant 7,Puas oro,25,100,25,none Variant 7,No Material,99,100,99
Variant 8,platinum_token Variant 8,Moneda platino,50,100,50,titanium Variant 8,Titanium Card,20,100,20,kevlar Variant 8,Front Card KEVLAR,15,100,15,864 Variant 8,Bit,20,100,20,60 Variant 8,drift,15,100,15,6 Variant 8,Mana,15,100,15,5 Variant 8,ingot,33,100,33,wild Variant 8,No Material,900,1000,90,earthy_orange Variant 8,Cuerpo amarillo,14,100,14,floyd_pink Variant 8,Alas rosadas,17,100,17,wasp_yellow Variant 8,Ojos verde claro,25,100,25,golden Variant 8,Puas oro,25,100,25,none Variant 8,No Material,99,100,99
Variant 9,platinum_token Variant 9,Moneda platino,50,100,50,platinum Variant 9,Platinium Card,50,100,50,sapphire Variant 9,Front Card NAVY,20,100,20,576 Variant 9,Bit,50,100,50,48 Variant 9,drift,80,100,80,6 Variant 9,Mana,15,100,15,5 Variant 9,ingot,33,100,33,wild Variant 9,No Material,900,1000,90,firing_red Variant 9,Cuerpo rojo,16,100,16,ocean_blue Variant 9,Material.001,17,100,17,hornet_brown Variant 9,Ojos sauron,40,100,40,rainbow Variant 9,Cuernos arcoiris,5,100,5,none Variant 9,No Material,99,100,99
Variant 10,platinum_token Variant 10,Moneda platino,50,100,50,platinum Variant 10,Platinium Card,50,100,50,emerald Variant 10,Front Card Colorful,30,100,30,576 Variant 10,Bit,50,100,50,48 Variant 10,drift,80,100,80,9 Variant 10,Mana,5,100,5,4 Variant 10,ingot,60,100,60,wild Variant 10,No Material,900,1000,90,mystic_purple Variant 10,Cuerpo Morado,14,100,14,party_orange Variant 10,Material.005,17,100,17,firefly_lilac Variant 10,Ojos rosados,20,100,20,bone Variant 10,Huesos blancos,70,100,70,none Variant 10,No Material,99,100,99
