,gadget Name,gadget Material,gadget Tickets,gadget: Total Tickets,gadget Odds (% chance),card_material Name,card_material Material,card_material Tickets,card_material: Total Tickets,card_material Odds (% chance),card_shield Name,card_shield Material,card_shield Tickets,card_shield: Total Tickets,card_shield Odds (% chance),card_bit Name,card_bit Material,card_bit Tickets,card_bit: Total Tickets,card_bit Odds (% chance),card_drift Name,card_drift Material,card_drift Tickets,card_drift: Total Tickets,card_drift Odds (% chance),card_mana Name,card_mana Material,card_mana Tickets,card_mana: Total Tickets,card_mana Odds (% chance),card_ingot Name,card_ingot Material,card_ingot Tickets,card_ingot: Total Tickets,card_ingot Odds (% chance),dragon_style Name,dragon_style Material,dragon_style Tickets,dragon_style: Total Tickets,dragon_style Odds (% chance),dragon_body Name,dragon_body Material,dragon_body Tickets,dragon_body: Total Tickets,dragon_body Odds (% chance),dragon_wings Name,dragon_wings Material,dragon_wings Tickets,dragon_wings: Total Tickets,dragon_wings Odds (% chance),dragon_eyes Name,dragon_eyes Material,dragon_eyes Tickets,dragon_eyes: Total Tickets,dragon_eyes Odds (% chance),dragon_all_horns Name,dragon_all_horns Material,dragon_all_horns Tickets,dragon_all_horns: Total Tickets,dragon_all_horns Odds (% chance),music Name,music Material,music Tickets,music: Total Tickets,music Odds (% chance)
Variant 1,gold_token Variant 1,Moneda oro,35,100,35,titanium Variant 1,Titanium Card,20,100,20,sapphire Variant 1,Front Card NAVY,20,100,20,720 Variant 1,Bit,30,100,30,48 Variant 1,drift,80,100,80,3 Variant 1,Mana,80,100,80,4 Variant 1,ingot,60,100,60,wild Variant 1,No Material,900,1000,90,tangle_dark Variant 1,Cuerpo negro,14,100,14,floyd_pink Variant 1,Alas rosadas,17,100,17,hornet_brown Variant 1,Ojos sauron,40,100,40,bone Variant 1,Huesos blancos,70,100,70,none Variant 1,No Material,99,100,99
Variant 2,platinum_token Variant 2,Moneda platino,50,100,50,platinum Variant 2,Platinium Card,50,100,50,emerald Variant 2,Front Card Colorful,30,100,30,720 Variant 2,Bit,30,100,30,48 Variant 2,drift,80,100,80,6 Variant 2,Mana,15,100,15,5 Variant 2,ingot,33,100,33,wild Variant 2,No Material,900,1000,90,firing_red Variant 2,Cuerpo rojo,16,100,16,lemon_green Variant 2,Alas verdes,10,100,10,hornet_brown Variant 2,Ojos sauron,40,100,40,rainbow Variant 2,Cuernos arcoiris,5,100,5,none Variant 2,No Material,99,100,99
Variant 3,titanium_token Variant 3,Material.016,15,100,15,gold Variant 3,Middle Card Black,30,100,30,amethyst Variant 3,Front Card Purple,25,100,25,720 Variant 3,Bit,30,100,30,60 Variant 3,drift,15,100,15,6 Variant 3,Mana,15,100,15,8 Variant 3,ingot,4,100,4,pirate Variant 3,Parche,25,1000,2,mystic_purple Variant 3,Cuerpo Morado,14,100,14,sunny_yellow Variant 3,Material.002,17,100,17,shimmer_turquoise Variant 3,Ojos turquesa,10,100,10,bone Variant 3,Huesos blancos,70,100,70,none Variant 3,No Material,99,100,99
Variant 4,titanium_token Variant 4,Material.016,15,100,15,gold Variant 4,Middle Card Black,30,100,30,prism Variant 4,Front Card Rainbow,10,100,10,720 Variant 4,Bit,30,100,30,48 Variant 4,drift,80,100,80,3 Variant 4,Mana,80,100,80,5 Variant 4,ingot,33,100,33,wild Variant 4,No Material,900,1000,90,mystic_purple Variant 4,Cuerpo Morado,14,100,14,magic_purple Variant 4,Material.004,17,100,17,hornet_brown Variant 4,Ojos sauron,40,100,40,rainbow Variant 4,Cuernos arcoiris,5,100,5,none Variant 4,No Material,99,100,99
Variant 5,platinum_token Variant 5,Moneda platino,50,100,50,titanium Variant 5,Titanium Card,20,100,20,emerald Variant 5,Front Card Colorful,30,100,30,576 Variant 5,Bit,50,100,50,48 Variant 5,drift,80,100,80,3 Variant 5,Mana,80,100,80,10 Variant 5,ingot,2,100,2,sovereign Variant 5,Gold Crown Sov1.001,75,1000,8,firing_red Variant 5,Cuerpo rojo,16,100,16,party_orange Variant 5,Material.005,17,100,17,shimmer_turquoise Variant 5,Ojos turquesa,10,100,10,bone Variant 5,Huesos blancos,70,100,70,none Variant 5,No Material,99,100,99
Variant 6,gold_token Variant 6,Moneda oro,35,100,35,platinum Variant 6,Platinium Card,50,100,50,kevlar Variant 6,Front Card KEVLAR,15,100,15,720 Variant 6,Bit,30,100,30,48 Variant 6,drift,80,100,80,3 Variant 6,Mana,80,100,80,4 Variant 6,ingot,60,100,60,wild Variant 6,No Material,900,1000,90,firing_red Variant 6,Cuerpo rojo,16,100,16,magic_purple Variant 6,Material.004,17,100,17,hornet_brown Variant 6,Ojos sauron,40,100,40,bone Variant 6,Huesos blancos,70,100,70,none Variant 6,No Material,99,100,99
Variant 7,gold_token Variant 7,Moneda oro,35,100,35,platinum Variant 7,Platinium Card,50,100,50,prism Variant 7,Front Card Rainbow,10,100,10,864 Variant 7,Bit,20,100,20,60 Variant 7,drift,15,100,15,3 Variant 7,Mana,80,100,80,4 Variant 7,ingot,60,100,60,wild Variant 7,No Material,900,1000,90,firing_red Variant 7,Cuerpo rojo,16,100,16,lemon_green Variant 7,Alas verdes,10,100,10,firefly_lilac Variant 7,Ojos rosados,20,100,20,golden Variant 7,Puas oro,25,100,25,tangle_dragons Variant 7,No Material,1,100,1
Variant 8,gold_token Variant 8,Moneda oro,35,100,35,platinum Variant 8,Platinium Card,50,100,50,kevlar Variant 8,Front Card KEVLAR,15,100,15,576 Variant 8,Bit,50,100,50,48 Variant 8,drift,80,100,80,3 Variant 8,Mana,80,100,80,4 Variant 8,ingot,60,100,60,wild Variant 8,No Material,900,1000,90,exotic_turquoise Variant 8,Cuerpo turquesa,14,100,14,floyd_pink Variant 8,Alas rosadas,17,100,17,firefly_lilac Variant 8,Ojos rosados,20,100,20,bone Variant 8,Huesos blancos,70,100,70,none Variant 8,No Material,99,100,99
Variant 9,platinum_token Variant 9,Moneda platino,50,100,50,platinum Variant 9,Platinium Card,50,100,50,amethyst Variant 9,Front Card Purple,25,100,25,864 Variant 9,Bit,20,100,20,48 Variant 9,drift,80,100,80,3 Variant 9,Mana,80,100,80,5 Variant 9,ingot,33,100,33,wild Variant 9,No Material,900,1000,90,exotic_turquoise Variant 9,Cuerpo turquesa,14,100,14,ocean_blue Variant 9,Material.001,17,100,17,wasp_yellow Variant 9,Ojos verde claro,25,100,25,golden Variant 9,Puas oro,25,100,25,none Variant 9,No Material,99,100,99
Variant 10,gold_token Variant 10,Moneda oro,35,100,35,platinum Variant 10,Platinium Card,50,100,50,amethyst Variant 10,Front Card Purple,25,100,25,864 Variant 10,Bit,20,100,20,48 Variant 10,drift,80,100,80,3 Variant 10,Mana,80,100,80,5 Variant 10,ingot,33,100,33,wild Variant 10,No Material,900,1000,90,mystic_purple Variant 10,Cuerpo Morado,14,100,14,lemon_green Variant 10,Alas verdes,10,100,10,shimmer_turquoise Variant 10,Ojos turquesa,10,100,10,bone Variant 10,Huesos blancos,70,100,70,none Variant 10,No Material,99,100,99
